[9:22:58 AM] [Config] Media Path: E:\Blippi\downloads
[9:22:58 AM] [DB] Initialized.
[9:22:58 AM] [Scheduler] Started — checking every minute for scheduled downloads.
[9:22:58 AM] [Scanner] Starting full disk scan...
[9:22:58 AM] 
🚀 JJtv Server (Node.js) is running on:
[9:22:58 AM]    - Local:  http://localhost:5000
[9:22:58 AM]    - Network: http://0.0.0.0:5000

[9:22:58 AM] Press Ctrl+C to stop.
[9:23:35 AM] [TV-API] GET /api/playlists from 192.168.1.6
[9:23:44 AM] [TV-API] GET /api/playlists/Blippi - Educational Videos for Kids from 192.168.1.6
[9:23:58 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:23:58 AM] [HLS] Starting conversion: Blippi & Miles Music Kid Song Challenge! @milesmusickid ​ [F9LvTFER2ss].f399.mp4
[9:24:02 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:24:07 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:24:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:24:26 AM] [Scanner] Full scan complete.
[9:24:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:24:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:24:46 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:24:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:25:06 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:25:16 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:25:26 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:25:36 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
